country,crop,year,yield_hg_ha,rain_mm,pesticides_t,temp_c,gdp_tier
Albania,Maize,1990,36613,1485,121,16.37,Middle
Albania,Potatoes,1990,66667,1485,121,16.37,Middle
Albania,"Rice, paddy",1990,23333,1485,121,16.37,Middle
Albania,Soybeans,1990,7000,1485,121,16.37,Middle
Albania,Wheat,1990,30197,1485,121,16.37,Middle
Albania,Maize,1991,29068,1485,121,15.36,Middle
Albania,Potatoes,1991,77818,1485,121,15.36,Middle
Albania,"Rice, paddy",1991,28538,1485,121,15.36,Middle
Albania,Soybeans,1991,6066,1485,121,15.36,Middle
Albania,Wheat,1991,20698,1485,121,15.36,Middle
Albania,Maize,1992,24876,1485,121,16.06,Middle
Albania,Potatoes,1992,82920,1485,121,16.06,Middle
Albania,"Rice, paddy",1992,40000,1485,121,16.06,Middle
Albania,Soybeans,1992,4507,1485,121,16.06,Middle
Albania,Wheat,1992,24388,1485,121,16.06,Middle
Albania,Maize,1993,24185,1485,121,16.05,Middle
Albania,Potatoes,1993,98446,1485,121,16.05,Middle
Albania,"Rice, paddy",1993,41786,1485,121,16.05,Middle
Albania,Soybeans,1993,7998,1485,121,16.05,Middle
Albania,Wheat,1993,29976,1485,121,16.05,Middle
Albania,Maize,1994,25848,1485,201,16.96,Middle
Albania,Potatoes,1994,81404,1485,201,16.96,Middle
Albania,Soybeans,1994,7927,1485,201,16.96,Middle
Albania,Wheat,1994,24745,1485,201,16.96,Middle
Albania,Maize,1995,31300,1485,251,15.67,Middle
Albania,Potatoes,1995,111323,1485,251,15.67,Middle
Albania,Soybeans,1995,11791,1485,251,15.67,Middle
Albania,Wheat,1995,28703,1485,251,15.67,Middle
Albania,Maize,1996,32604,1485,313.96,15.64,Middle
Albania,Potatoes,1996,106138,1485,313.96,15.64,Middle
Albania,Soybeans,1996,15480,1485,313.96,15.64,Middle
Albania,Wheat,1996,21741,1485,313.96,15.64,Middle
Albania,Maize,1997,31862,1485,376.93,15.9,Middle
Albania,Potatoes,1997,109874,1485,376.93,15.9,Middle
Albania,Soybeans,1997,12768,1485,376.93,15.9,Middle
Albania,Wheat,1997,28516,1485,376.93,15.9,Middle
Albania,Maize,1998,33416,1485,439.89,16.27,Middle
Albania,Potatoes,1998,127212,1485,439.89,16.27,Middle
Albania,Soybeans,1998,14327,1485,439.89,16.27,Middle
Albania,Wheat,1998,28037,1485,439.89,16.27,Middle
Albania,Maize,1999,37455,1485,502.86,16.57,Middle
Albania,Potatoes,1999,142018,1485,502.86,16.57,Middle
Albania,Soybeans,1999,17143,1485,502.86,16.57,Middle
Albania,Wheat,1999,24954,1485,502.86,16.57,Middle
Albania,Maize,2000,38811,1485,565.82,16.67,Middle
Albania,Potatoes,2000,141228,1485,565.82,16.67,Middle
Albania,Soybeans,2000,15000,1485,565.82,16.67,Middle
Albania,Wheat,2000,30455,1485,565.82,16.67,Middle
Albania,Maize,2001,38135,1485,628.79,16.59,Middle
Albania,Potatoes,2001,148818,1485,628.79,16.59,Middle
Albania,Soybeans,2001,20000,1485,628.79,16.59,Middle
Albania,Wheat,2001,28220,1485,628.79,16.59,Middle
Albania,Maize,2002,39460,1485,691.75,16.47,Middle
Albania,Potatoes,2002,153868,1485,691.75,16.47,Middle
Albania,Soybeans,2002,20000,1485,691.75,16.47,Middle
Albania,Wheat,2002,31617,1485,691.75,16.47,Middle
Albania,Maize,2004,46197,1485,817.68,16.16,Middle
Albania,Potatoes,2004,149346,1485,817.68,16.16,Middle
Albania,Soybeans,2004,13333,1485,817.68,16.16,Middle
Albania,Wheat,2004,31130,1485,817.68,16.16,Middle
Albania,Maize,2005,45442,1485,880.64,15.67,Middle
Albania,Potatoes,2005,167061,1485,880.64,15.67,Middle
Albania,Soybeans,2005,17500,1485,880.64,15.67,Middle
Albania,Wheat,2005,31582,1485,880.64,15.67,Middle
Albania,Maize,2006,50111,1485,943.61,15.92,Middle
Albania,Potatoes,2006,170745,1485,943.61,15.92,Middle
Albania,Soybeans,2006,20000,1485,943.61,15.92,Middle
Albania,Wheat,2006,30787,1485,943.61,15.92,Middle
Albania,Maize,2007,46732,1485,1006.57,16.67,Middle
Albania,Potatoes,2007,188902,1485,1006.57,16.67,Middle
Albania,Soybeans,2007,20000,1485,1006.57,16.67,Middle
Albania,Wheat,2007,35496,1485,1006.57,16.67,Middle
Albania,Maize,2008,50000,1485,1069.54,16.71,Middle
Albania,Potatoes,2008,193878,1485,1069.54,16.71,Middle
Albania,Soybeans,2008,20000,1485,1069.54,16.71,Middle
Albania,Wheat,2008,40168,1485,1069.54,16.71,Middle
Albania,Maize,2009,55693,1485,1132.5,16.73,Middle
Albania,Potatoes,2009,219780,1485,1132.5,16.73,Middle
Albania,Soybeans,2009,16667,1485,1132.5,16.73,Middle
Albania,Wheat,2009,40229,1485,1132.5,16.73,Middle
Albania,Maize,2010,66790,1485,1311.17,16.52,Middle
Albania,Potatoes,2010,231111,1485,1311.17,16.52,Middle
Albania,Soybeans,2010,16667,1485,1311.17,16.52,Middle
Albania,Wheat,2010,39905,1485,1311.17,16.52,Middle
Albania,Maize,2011,59869,1485,1302.63,16.45,Middle
Albania,Potatoes,2011,242211,1485,1302.63,16.45,Middle
Albania,Soybeans,2011,18519,1485,1302.63,16.45,Middle
Albania,Wheat,2011,42301,1485,1302.63,16.45,Middle
Albania,Maize,2012,67290,1485,766.25,16.7,Middle
Albania,Potatoes,2012,250538,1485,766.25,16.7,Middle
Albania,Soybeans,2012,13333,1485,766.25,16.7,Middle
Albania,Wheat,2012,41096,1485,766.25,16.7,Middle
Albania,Maize,2013,69533,1485,982.32,17.41,Middle
Albania,Potatoes,2013,260110,1485,982.32,17.41,Middle
Albania,Soybeans,2013,10000,1485,982.32,17.41,Middle
Albania,Wheat,2013,41292,1485,982.32,17.41,Middle
